text,filter_text,intent,is_diff,relabel_intent,tag
tăng bóng 3 26 phần trăm,tăng phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
hãy tăng thêm độ sáng phòng ngủ con trai lên 91 phần trăm,hãy tăng thêm độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-commandcommand I-commandcommand O O B-roomroom I-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
giúp mình tăng đèn âm trần thứ 2 lên 10 phần trăm ở phòng con nhỏ 4 tầng 5 nhé,giúp mình tăng lên phần trăm ở tầng nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O
bạn có thể tăng giúp mình bóng chùm thứ 3 lên mức 21 phần trăm được không,bạn có thể tăng giúp mình lên mức phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
tăng bình nóng lạnh 5 phần trăm,tăng phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
mình muốn tăng bóng vách,mình muốn tăng,smart.home.increase.percentage,True,smart.home.device.onoff,O O O B-devicedevice I-devicedevice
tăng đèn cảnh lên 23 phần trăm ở khách 2 6,tăng lên phần trăm ở,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O B-roomroom I-roomroom B-floornumberfloornumber
bạn có thể giúp mình tăng mức độ của đèn màu bên phòng giặt ủi 4 lên 8 phần trăm được không,bạn có thể giúp mình tăng mức độ của bên lên phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,O O O O O O O O O B-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
bạn tăng đèn hắt tường thứ 1 ở phòng sách 5 lên 13 phần trăm giúp mình nhé,bạn tăng ở lên phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O
tăng đèn treo tường lên 7 phần trăm giúp mình,tăng lên phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
hãy tăng giúp ta cái nóng lạnh 4 ở phòng trẻ em 5,hãy tăng giúp ta cái ở,smart.home.increase.percentage,True,smart.home.device.onoff,O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom
tăng thêm độ sáng bóng trụ cổng 3 lễ tân 4 lên 82 phần trăm,tăng thêm độ sáng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom I-roomroom O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
tăng điện thứ 1 lên 5 phần trăm giúp mình,tăng lên phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
tăng hắt trần thứ 2 lên 22 phần trăm,tăng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng bóng kiểng thứ 3 lên 1 phần trăm,tăng lên phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
tăng thêm ánh sáng bóng hắt tường 2 lên mức 51 phần trăm,tăng thêm ánh sáng lên mức phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O O B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage
bạn tăng bóng led 3 ở phòng tắm xông hơi 2 phòng 10 lên 26 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,bạn tăng ở phòng lên phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom B-floornumberfloornumber I-floornumberfloornumber O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O O O O O O O O O O O O
tăng lên đèn làm việc cổng chính thêm 10 phần trăm,tăng lên thêm phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice B-roomroom I-roomroom O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage
