text,old_intent,is_diff,new_intent,is_diff_relabel,relabel_intent
tăng bóng 3 26 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
hãy tăng thêm độ sáng phòng ngủ con trai lên 91 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
giúp mình tăng đèn âm trần thứ 2 lên 10 phần trăm ở phòng con nhỏ 4 tầng 5 nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
bạn có thể tăng giúp mình bóng chùm thứ 3 lên mức 21 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
tăng bình nóng lạnh 5 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
mình muốn tăng bóng vách,smart.home.increase.percentage,0,smart.home.increase.percentage,True,smart.home.increase.level
tăng đèn cảnh lên 23 phần trăm ở khách 2 6,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của đèn màu bên phòng giặt ủi 4 lên 8 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
bạn tăng đèn hắt tường thứ 1 ở phòng sách 5 lên 13 phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
tăng đèn treo tường lên 7 phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
hãy tăng giúp ta cái nóng lạnh 4 ở phòng trẻ em 5,smart.home.increase.percentage,0,smart.home.increase.percentage,True,smart.home.increase.level
tăng thêm độ sáng bóng trụ cổng 3 lễ tân 4 lên 82 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
tăng điện thứ 1 lên 5 phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
