,text,old_intent,is_diff,new_intent,is_diff_relabel,relabel_intent
0,tăng bóng 3 26 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
1,hãy tăng thêm độ sáng phòng ngủ con trai lên 91 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
2,giúp mình tăng đèn âm trần thứ 2 lên 10 phần trăm ở phòng con nhỏ 4 tầng 5 nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
3,bạn có thể tăng giúp mình bóng chùm thứ 3 lên mức 21 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
4,tăng bình nóng lạnh 5 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
6,tăng đèn cảnh lên 23 phần trăm ở khách 2 6,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
7,bạn có thể giúp mình tăng mức độ của đèn màu bên phòng giặt ủi 4 lên 8 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
8,bạn tăng đèn hắt tường thứ 1 ở phòng sách 5 lên 13 phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
9,tăng đèn treo tường lên 7 phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
11,tăng thêm độ sáng bóng trụ cổng 3 lễ tân 4 lên 82 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
12,tăng điện thứ 1 lên 5 phần trăm giúp mình,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
13,tăng hắt trần thứ 2 lên 22 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
14,tăng bóng kiểng thứ 3 lên 1 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
15,tăng thêm ánh sáng bóng hắt tường 2 lên mức 51 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
16,bạn tăng bóng led 3 ở phòng tắm xông hơi 2 phòng 10 lên 26 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
17,tăng lên đèn làm việc cổng chính thêm 10 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
18,bạn tăng đèn vườn 4 ở phòng làm việc 5 7 lên 5 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
19,hãy tăng giúp ta cái đèn ngủ thứ 4 ở phòng nam,smart.home.increase.percentage,True,smart.home.increase.level,True,smart.home.increase.level
20,tăng đèn chùm 4 15 phần trăm tại phòng chánh 5 phòng 7,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
21,tăng lên đèn lồng thứ 1 sân vườn thêm 24 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
22,tăng đèn trụ cổng 4 29 phần trăm tại phòng thực hành lầu trệt 9,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
24,tăng độ sáng điện thêm 8 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
25,tăng lên độ sáng led 1 phòng hội nghị 4 lên 72 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
26,bạn tăng bóng ốp tường thứ 1 ở phòng ngủ con lên 4 phần trăm giúp mình nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
27,bạn giúp mình tăng bóng 4 lên 3 phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
28,bạn có thể giúp mình tăng mức độ của bóng hắt bên phòng thờ lên 23 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
29,ơi bạn đèn tuýp tăng lên 29 phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
30,bạn giúp mình tăng rèm đôi thứ 4 lên 19 phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
31,bạn có thể tăng giúp mình đèn tường 1 lên mức 7 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
33,ơi bạn đèn ngủ tăng lên 18 phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
34,giúp mình tăng bóng để bàn lên 3 phần trăm ở khách 3 phòng 2 nhé,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
36,bật loa đài thứ 1 đi trợ lý,smart.home.increase.percentage,True,smart.home.device.onoff,True,smart.home.device.onoff
37,ốp trần 2 thêm 29 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
38,tăng bóng tuýp thứ 4 lên 17 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
39,bạn giúp mình tăng bóng đứng thứ 4 lên 15 phần trăm với,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
41,hãy tăng giúp ta cái van nước 2 ở sân sau,smart.home.increase.percentage,True,smart.home.increase.level,True,smart.home.increase.level
42,ơi bạn quạt treo tường 3 tăng lên 19 phần trăm ná,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
43,bật đèn để bàn thứ 2 đi trợ lý,smart.home.increase.percentage,True,smart.home.device.onoff,True,smart.home.device.onoff
44,tăng độ sáng đèn đứng phòng là lên 96 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
45,trợ lí ngốc nghếch tôi muốn tăng mức độ động cơ thứ 3,smart.home.increase.percentage,True,smart.home.increase.level,True,smart.home.increase.level
46,bạn có thể giúp mình tăng mức độ của bóng tuýp thứ 3 bên phòng nghiên cứu 2 lên 13 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
47,tăng đến ánh sáng đèn led lên mức 77 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
48,tăng đến mỗi tvs thứ 2 lên 95 phần trăm,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
49,giúp tôi tăng đến đèn nhiều màu thứ 2 phòng tắm 1 thêm 14 phần trăm nữa,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
50,bạn tăng đèn vách ở phòng xông hơi 3 9 lên 4 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
51,bạn có thể tăng giúp mình bóng hắt tường 3 lên mức 27 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
52,bạn có thể tăng giúp mình van nước 2 lên mức 27 phần trăm được không,smart.home.increase.percentage,0,smart.home.increase.percentage,0,smart.home.increase.percentage
