text,intent,is_diff,text_filter,is_diff1,new_intent
tăng bóng 3 26 phần trăm,smart.home.increase.percentage,0,tăng 26 phần_trăm,True,smart.home.decrease.percentage
hãy tăng thêm độ sáng phòng ngủ con trai lên 91 phần trăm,smart.home.increase.percentage,0,hãy tăng thêm độ sáng phần_trăm,0,smart.home.increase.percentage
giúp mình tăng đèn âm trần thứ 2 lên 10 phần trăm ở phòng con nhỏ 4 tầng 5 nhé,smart.home.increase.percentage,0,giúp mình tăng lên 10 phần_trăm ở phòng,0,smart.home.increase.percentage
bạn có thể tăng giúp mình bóng chùm thứ 3 lên mức 21 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể tăng giúp mình bóng mức 21 phần_trăm được không,0,smart.home.increase.percentage
tăng bình nóng lạnh 5 phần trăm,smart.home.increase.percentage,0,tăng 5 phần_trăm,0,smart.home.increase.percentage
mình muốn tăng bóng vách,smart.home.increase.percentage,True,mình muốn tăng,0,smart.home.increase.percentage
tăng đèn cảnh lên 23 phần trăm ở khách 2 6,smart.home.increase.percentage,0,tăng lên 23 phần_trăm ở khách,0,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của đèn màu bên phòng giặt ủi 4 lên 8 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể giúp mình tăng mức_độ của đèn màu giặt phần_trăm được không,0,smart.home.increase.percentage
bạn tăng đèn hắt tường thứ 1 ở phòng sách 5 lên 13 phần trăm giúp mình nhé,smart.home.increase.percentage,0,bạn tăng ở lên 13 phần_trăm giúp mình nhé,True,smart.home.decrease.percentage
tăng đèn treo tường lên 7 phần trăm giúp mình,smart.home.increase.percentage,0,tăng lên 7 phần_trăm giúp mình,0,smart.home.increase.percentage
hãy tăng giúp ta cái nóng lạnh 4 ở phòng trẻ em 5,smart.home.increase.percentage,True,hãy tăng giúp ta cái ở,0,smart.home.increase.percentage
tăng thêm độ sáng bóng trụ cổng 3 lễ tân 4 lên 82 phần trăm,smart.home.increase.percentage,0,tăng thêm độ sáng 82 phần_trăm,0,smart.home.increase.percentage
tăng điện thứ 1 lên 5 phần trăm giúp mình,smart.home.increase.percentage,0,tăng lên 5 phần_trăm giúp mình,0,smart.home.increase.percentage
tăng hắt trần thứ 2 lên 22 phần trăm,smart.home.increase.percentage,0,tăng lên 22 phần_trăm,0,smart.home.increase.percentage
tăng bóng kiểng thứ 3 lên 1 phần trăm,smart.home.increase.percentage,0,tăng lên 1 phần_trăm,True,smart.home.increase.level
tăng thêm ánh sáng bóng hắt tường 2 lên mức 51 phần trăm,smart.home.increase.percentage,0,tăng thêm ánh_sáng bóng mức 51 phần_trăm,0,smart.home.increase.percentage
bạn tăng bóng led 3 ở phòng tắm xông hơi 2 phòng 10 lên 26 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,bạn tăng ở lên 26 phần_trăm hộ mình với bôi_đen bạn bỏ dấu ngoặc_kép ra nhé v,0,smart.home.increase.percentage
tăng lên đèn làm việc cổng chính thêm 10 phần trăm,smart.home.increase.percentage,0,tăng lên_đèn phần_trăm,0,smart.home.increase.percentage
bạn tăng đèn vườn 4 ở phòng làm việc 5 7 lên 5 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,bạn tăng ở 5 phần_trăm hộ mình với bôi_đen bạn bỏ dấu ngoặc_kép ra nhé v,0,smart.home.increase.percentage
hãy tăng giúp ta cái đèn ngủ thứ 4 ở phòng nam,smart.home.increase.percentage,True,hãy tăng giúp ta cái phòng,0,smart.home.increase.percentage
tăng đèn chùm 4 15 phần trăm tại phòng chánh 5 phòng 7,smart.home.increase.percentage,0,tăng phần_trăm tại phòng chánh,0,smart.home.increase.percentage
tăng lên đèn lồng thứ 1 sân vườn thêm 24 phần trăm,smart.home.increase.percentage,0,tăng lên thêm 24 phần_trăm,True,smart.home.increase.level
tăng đèn trụ cổng 4 29 phần trăm tại phòng thực hành lầu trệt 9,smart.home.increase.percentage,0,tăng 29 phần_trăm tại phòng,0,smart.home.increase.percentage
hãy tăng giúp ta cái bòng hắt trần 1 ở phòng ăn trưa 1,smart.home.increase.percentage,True,hãy tăng giúp ta cái ở,0,smart.home.increase.percentage
tăng độ sáng điện thêm 8 phần trăm,smart.home.increase.percentage,0,tăng độ sáng thêm 8 phần_trăm,0,smart.home.increase.percentage
tăng lên độ sáng led 1 phòng hội nghị 4 lên 72 phần trăm,smart.home.increase.percentage,0,tăng lên độ sáng 72 phần_trăm,0,smart.home.increase.percentage
bạn tăng bóng ốp tường thứ 1 ở phòng ngủ con lên 4 phần trăm giúp mình nhé,smart.home.increase.percentage,0,bạn tăng ở 4 phần_trăm giúp mình nhé,0,smart.home.increase.percentage
bạn giúp mình tăng bóng 4 lên 3 phần trăm với,smart.home.increase.percentage,0,bạn giúp mình tăng lên 3 phần_trăm với,True,smart.home.increase.level
bạn có thể giúp mình tăng mức độ của bóng hắt bên phòng thờ lên 23 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể giúp mình tăng mức_độ của bóng hắt thờ phần_trăm được không,0,smart.home.increase.percentage
ơi bạn đèn tuýp tăng lên 29 phần trăm ná,smart.home.increase.percentage,0,ơi bạn tăng lên 29 phần_trăm ná,0,smart.home.increase.percentage
bạn giúp mình tăng rèm đôi thứ 4 lên 19 phần trăm với,smart.home.increase.percentage,0,bạn giúp mình tăng lên 19 phần_trăm với,0,smart.home.increase.percentage
bạn có thể tăng giúp mình đèn tường 1 lên mức 7 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể tăng giúp mình đèn mức 7 phần_trăm được không,0,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng ốp tường lên được không,smart.home.increase.percentage,True,bạn có_thể tăng giúp mình độ sáng ốp được không,0,smart.home.increase.percentage
ơi bạn đèn ngủ tăng lên 18 phần trăm ná,smart.home.increase.percentage,0,ơi bạn lên 18 phần_trăm ná,0,smart.home.increase.percentage
giúp mình tăng bóng để bàn lên 3 phần trăm ở khách 3 phòng 2 nhé,smart.home.increase.percentage,0,giúp mình tăng lên 3 phần_trăm ở khách,0,smart.home.increase.percentage
thay đổi bóng hắt tường 2 nhé,smart.home.increase.percentage,0,thay_đổi bóng,True,smart.home.set.level
bật loa đài thứ 1 đi trợ lý,smart.home.increase.percentage,True,bật đi trợ_lý,True,smart.home.device.onoff
ốp trần 2 thêm 29 phần trăm,smart.home.increase.percentage,0,thêm 29 phần_trăm,True,smart.home.decrease.percentage
tăng bóng tuýp thứ 4 lên 17 phần trăm,smart.home.increase.percentage,0,tăng lên 17 phần_trăm,0,smart.home.increase.percentage
bạn giúp mình tăng bóng đứng thứ 4 lên 15 phần trăm với,smart.home.increase.percentage,0,bạn giúp mình tăng lên 15 phần_trăm với,0,smart.home.increase.percentage
mình muốn tăng đèn ốp tường 2,smart.home.increase.percentage,True,mình muốn tăng,0,smart.home.increase.percentage
hãy tăng giúp ta cái van nước 2 ở sân sau,smart.home.increase.percentage,True,hãy tăng giúp ta cái ở,0,smart.home.increase.percentage
ơi bạn quạt treo tường 3 tăng lên 19 phần trăm ná,smart.home.increase.percentage,0,ơi bạn tăng lên 19 phần_trăm ná,0,smart.home.increase.percentage
bật đèn để bàn thứ 2 đi trợ lý,smart.home.increase.percentage,True,bật đi trợ_lý,True,smart.home.device.onoff
tăng độ sáng đèn đứng phòng là lên 96 phần trăm,smart.home.increase.percentage,0,tăng độ sáng lên 96 phần_trăm,0,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ động cơ thứ 3,smart.home.increase.percentage,True,trợ_lí ngốc_nghếch tôi muốn tăng mức_độ động_cơ thứ 3,0,smart.home.increase.percentage
bạn có thể giúp mình tăng mức độ của bóng tuýp thứ 3 bên phòng nghiên cứu 2 lên 13 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể giúp mình tăng mức_độ của bóng tuýp nghiên_cứu được không,0,smart.home.increase.percentage
tăng đến ánh sáng đèn led lên mức 77 phần trăm,smart.home.increase.percentage,0,tăng đến ánh_sáng đèn mức 77 phần_trăm,0,smart.home.increase.percentage
tăng đến mỗi tvs thứ 2 lên 95 phần trăm,smart.home.increase.percentage,0,tăng đến mỗi lên 95 phần_trăm,True,smart.home.increase.level
giúp tôi tăng đến đèn nhiều màu thứ 2 phòng tắm 1 thêm 14 phần trăm nữa,smart.home.increase.percentage,0,giúp tôi tăng đến thêm 14 phần_trăm nữa,True,smart.home.increase.level
bạn tăng đèn vách ở phòng xông hơi 3 9 lên 4 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,bạn tăng phòng 4 phần_trăm hộ mình với bôi_đen bạn bỏ dấu ngoặc_kép ra nhé v,0,smart.home.increase.percentage
bạn có thể tăng giúp mình bóng hắt tường 3 lên mức 27 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể tăng giúp mình bóng mức 27 phần_trăm được không,0,smart.home.increase.percentage
bạn có thể tăng giúp mình van nước 2 lên mức 27 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể tăng giúp mình van mức 27 phần_trăm được không,0,smart.home.increase.percentage
bạn tăng đèn cảnh ở ga ra phòng 1 lên 18 phần trăm hộ mình với bôi đen bạn bỏ dấu ngoặc kép ra nhé v,smart.home.increase.percentage,0,bạn tăng ở lên 18 phần_trăm hộ mình với bôi_đen bạn bỏ dấu ngoặc_kép ra nhé v,0,smart.home.increase.percentage
làm ơn tăng thêm đèn âm trần 4 lên 81 phần trăm giúp tôi,smart.home.increase.percentage,0,làm ơn tăng thêm lên 81 phần_trăm giúp tôi,0,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ rèm cửa,smart.home.increase.percentage,True,trợ_lí ngốc_nghếch tôi muốn tăng mức_độ rèm cửa,0,smart.home.increase.percentage
mình muốn tăng huỳnh quang thứ 1,smart.home.increase.percentage,True,mình muốn tăng,0,smart.home.increase.percentage
trợ lý béo tăng đèn ốp tường thứ 4 lên 10 phần trăm ở phòng cuối 5 phòng 3,smart.home.increase.percentage,0,trợ_lý béo tăng đèn 10 phần_trăm ở phòng cuối,True,smart.home.device.onoff
ơi bạn bóng tiết kiệm điện tăng lên 6 phần trăm ná,smart.home.increase.percentage,0,ơi bạn lên 6 phần_trăm ná,0,smart.home.increase.percentage
bạn tăng âm thanh đa vùng ở phòng ăn trưa lên 7 phần trăm giúp mình nhé,smart.home.increase.percentage,0,bạn tăng phòng 7 phần_trăm giúp mình nhé,0,smart.home.increase.percentage
rèm ngang đại sảnh tăng thêm lên 92 phần trăm,smart.home.increase.percentage,0,thêm lên 92 phần_trăm,0,smart.home.increase.percentage
tăng đến quạt treo tường 2 phòng giặt đến 95 phần trăm,smart.home.increase.percentage,0,tăng đến đến 95 phần_trăm,0,smart.home.increase.percentage
mình muốn tăng mức độ của bóng vách 4,smart.home.increase.percentage,True,mình muốn tăng mức_độ của bóng,0,smart.home.increase.percentage
em tăng giúp anh rèm ngang thứ 1 nhé,smart.home.increase.percentage,True,em tăng giúp anh nhé,True,smart.home.increase.level
trợ lý béo tăng đèn tường thứ 2 lên 7 phần trăm ở tiền sảnh 5 10,smart.home.increase.percentage,0,trợ_lý béo tăng đèn 7 phần_trăm ở tiền_sảnh 5,0,smart.home.increase.percentage
hãy tăng đến độ sáng quầy lễ tân lên 65 phần trăm,smart.home.increase.percentage,0,hãy tăng đến độ sáng 65 phần_trăm,0,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng đèn tuýp thứ 4 lên được không,smart.home.increase.percentage,True,bạn có_thể tăng giúp mình độ sáng đèn được không,0,smart.home.increase.percentage
tăng quạt hút mùi thứ 2 lên 10 phần trăm ở phòng bếp 4 lầu trệt 2,smart.home.increase.percentage,0,tăng lên 10 phần_trăm ở phòng,0,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn compact 2,smart.home.increase.percentage,True,trợ_lí ngốc_nghếch tôi muốn tăng mức_độ đèn compact 2,0,smart.home.increase.percentage
hãy tăng giúp ta cái đèn bàn thứ 2 ở tủ giữ đồ,smart.home.increase.percentage,True,hãy tăng giúp ta cái tủ,0,smart.home.increase.percentage
thay đổi đèn tiết kiệm điện 2 nhé,smart.home.increase.percentage,0,thay_đổi đèn,True,smart.home.set.color
tăng thêm đèn treo tường thứ 4 phòng giặt ủi đến 94 phần trăm,smart.home.increase.percentage,0,tăng thêm 94 phần_trăm,0,smart.home.increase.percentage
tăng lên quạt thông gió thứ 4 lên 73 phần trăm nhé,smart.home.increase.percentage,0,tăng lên lên 73 phần_trăm nhé,0,smart.home.increase.percentage
mình muốn tăng mức độ của đèn sợi đốt 1,smart.home.increase.percentage,True,mình muốn tăng mức_độ của đèn,0,smart.home.increase.percentage
em tăng giúp anh bóng ngủ thứ 4 nhé,smart.home.increase.percentage,True,em tăng giúp anh nhé,True,smart.home.increase.level
mình cần tăng thiết bị đèn ốp trần lên 19 phần trăm với,smart.home.increase.percentage,0,mình cần tăng thiết_bị đèn 19 phần_trăm với,0,smart.home.increase.percentage
tăng nút ấn 20 phần trăm tại phòng chung 2 4,smart.home.increase.percentage,0,tăng 20 phần_trăm tại phòng,0,smart.home.increase.percentage
tăng ánh sáng bóng đứng lên mức 95 phần trăm,smart.home.increase.percentage,0,tăng ánh_sáng bóng mức 95 phần_trăm,0,smart.home.increase.percentage
bạn có thể tăng giúp mình độ sáng màn cuốn lên được không,smart.home.increase.percentage,True,bạn có_thể tăng giúp mình độ sáng màn được không,0,smart.home.increase.percentage
mình muốn tăng bóng trụ cổng 3,smart.home.increase.percentage,True,mình muốn tăng,0,smart.home.increase.percentage
bật kịch bản 3 đi trợ lý,smart.home.increase.percentage,True,bật trợ_lý,0,smart.home.increase.percentage
trợ lí ngốc nghếch tôi muốn tăng mức độ đèn tuýp thứ 2,smart.home.increase.percentage,True,trợ_lí ngốc_nghếch tôi muốn tăng mức_độ đèn tuýp thứ,0,smart.home.increase.percentage
giúp mình tăng rèm ngang khách 4 lên 74 phần trăm,smart.home.increase.percentage,0,giúp mình tăng lên 74 phần_trăm,0,smart.home.increase.percentage
trợ lý béo tăng downlight thứ 2 lên 4 phần trăm ở sân sau phòng 8,smart.home.increase.percentage,0,trợ_lý béo tăng downlight 4 phần_trăm ở sân sau,0,smart.home.increase.percentage
bóng tiết kiệm điện phòng tiếp đón tăng thêm lên 54 phần trăm,smart.home.increase.percentage,0,lên 54 phần_trăm,0,smart.home.increase.percentage
tăng độ sáng ốp tường phòng dành cho nam 4 lên 89 phần trăm,smart.home.increase.percentage,0,tăng độ sáng lên 89 phần_trăm,0,smart.home.increase.percentage
tăng rèm đôi thứ 4 4 phần trăm,smart.home.increase.percentage,0,tăng 4 phần_trăm,True,smart.home.decrease.percentage
mình cần tăng thiết bị tvs thứ 4 lên 10 phần trăm với,smart.home.increase.percentage,0,mình cần tăng thiết_bị tvs 10 phần_trăm với,0,smart.home.increase.percentage
hãy tăng thêm độ sáng phòng ngủ con lên 55 phần trăm,smart.home.increase.percentage,0,hãy tăng thêm độ sáng 55 phần_trăm,0,smart.home.increase.percentage
giúp mình tăng đèn cổng thứ 2 lên 22 phần trăm nhé,smart.home.increase.percentage,0,giúp mình tăng lên 22 phần_trăm nhé,0,smart.home.increase.percentage
giúp mình tăng đèn vách vườn sau 3 lên 76 phần trăm,smart.home.increase.percentage,0,giúp mình tăng 76 phần_trăm,0,smart.home.increase.percentage
mình muốn tăng mức độ của tivi 3,smart.home.increase.percentage,True,mình muốn tăng mức_độ của tivi,0,smart.home.increase.percentage
tăng bóng sân 3 lên 19 phần trăm ở văn phòng 7,smart.home.increase.percentage,0,tăng lên 19 phần_trăm ở văn_phòng,0,smart.home.increase.percentage
tăng lên đèn chùm 4 phòng dành cho nữ 5 thêm 22 phần trăm,smart.home.increase.percentage,0,tăng lên 22 phần_trăm,0,smart.home.increase.percentage
tăng thêm hết nút nhấn lên 79 phần trăm,smart.home.increase.percentage,0,tăng thêm hết lên 79 phần_trăm,0,smart.home.increase.percentage
tăng đèn màu phòng vệ sinh 5 đến 66 phần trăm,smart.home.increase.percentage,0,tăng 66 phần_trăm,0,smart.home.increase.percentage
giúp mình tăng đèn ốp tường 1 lên 12 phần trăm nhé,smart.home.increase.percentage,0,giúp mình tăng lên 12 phần_trăm nhé,True,smart.home.decrease.percentage
mình muốn tăng mức độ của nút ấn 2,smart.home.increase.percentage,True,mình muốn tăng mức_độ của nút,0,smart.home.increase.percentage
bạn tăng bóng led 1 ở phòng họp gia đình lên 9 phần trăm giúp mình nhé,smart.home.increase.percentage,0,bạn tăng ở 9 phần_trăm giúp mình nhé,True,smart.home.decrease.percentage
em tăng giúp anh đèn treo tường 4 nhé,smart.home.increase.percentage,True,em tăng giúp anh nhé,True,smart.home.increase.level
giúp mình tăng bóng hắt tường phòng trẻ con 3 lên 98 phần trăm,smart.home.increase.percentage,0,giúp mình tăng 98 phần_trăm,0,smart.home.increase.percentage
mình muốn tăng quạt lên 21 phần trăm,smart.home.increase.percentage,0,mình muốn tăng lên 21 phần_trăm,0,smart.home.increase.percentage
tăng đèn trần thứ 2 lên 22 phần trăm giúp mình,smart.home.increase.percentage,0,tăng 22 phần_trăm giúp mình,0,smart.home.increase.percentage
tăng độ sáng bóng vườn thêm 7 phần trăm,smart.home.increase.percentage,0,tăng độ sáng thêm 7 phần_trăm,0,smart.home.increase.percentage
tăng đến ánh sáng bóng rủ 1 lên mức 91 phần trăm,smart.home.increase.percentage,0,tăng đến ánh_sáng bóng mức 91 phần_trăm,0,smart.home.increase.percentage
tăng huỳnh quang thứ 3 3 phần trăm tại khách 5 phòng 5,smart.home.increase.percentage,0,tăng phần_trăm tại khách 5,0,smart.home.increase.percentage
làm ơn tăng tvs 3 lên 52 phần trăm giúp tôi,smart.home.increase.percentage,0,làm ơn tăng lên 52 phần_trăm giúp tôi,0,smart.home.increase.percentage
giúp mình tăng đèn học thứ 2 lên 25 phần trăm nhé,smart.home.increase.percentage,0,giúp mình tăng lên 25 phần_trăm nhé,True,smart.home.decrease.percentage
bạn có thể tăng giúp mình độ sáng bóng đứng 3 lên được không,smart.home.increase.percentage,True,bạn có_thể tăng giúp mình độ sáng bóng được không,0,smart.home.increase.percentage
giúp mình tăng bóng để bàn lên 4 phần trăm ở phòng ngủ con trai 7 nhé,smart.home.increase.percentage,0,giúp mình tăng lên 4 phần_trăm ở phòng_ngủ,0,smart.home.increase.percentage
tăng bóng vách phòng ông bà 1 đến 50 phần trăm,smart.home.increase.percentage,0,tăng 50 phần_trăm,0,smart.home.increase.percentage
giúp mình tăng tivi 1 lên 15 phần trăm ở phòng trẻ con 4 phòng 3 nhé,smart.home.increase.percentage,0,giúp mình tăng lên 15 phần_trăm ở phòng,True,smart.home.decrease.percentage
bật bóng âm trần 3 đi trợ lý,smart.home.increase.percentage,True,bật đi trợ_lý,True,smart.home.device.onoff
bạn có thể giúp mình tăng mức độ của kiểng bên ban công lên 23 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể giúp mình tăng mức_độ của kiểng bên lên được không,True,smart.home.increase.level
thay đổi đèn nhiều màu thứ 4 nhé,smart.home.increase.percentage,0,thay_đổi đèn,True,smart.home.set.color
led phòng nghỉ ngơi 2 tăng đến lên 51 phần trăm,smart.home.increase.percentage,0,đến lên 51 phần_trăm,0,smart.home.increase.percentage
ơi bạn bóng hắt tăng lên 30 phần trăm ná,smart.home.increase.percentage,0,ơi bạn tăng lên 30 phần_trăm ná,0,smart.home.increase.percentage
hãy tăng độ sáng phòng bố mẹ lên 73 phần trăm,smart.home.increase.percentage,0,hãy tăng độ sáng 73 phần_trăm,0,smart.home.increase.percentage
tăng độ sáng quạt thứ 2 thêm 27 phần trăm,smart.home.increase.percentage,0,tăng độ sáng thêm 27 phần_trăm,0,smart.home.increase.percentage
bạn tăng đèn thả 3 ở phòng thực hành 1 lên 19 phần trăm giúp mình nhé,smart.home.increase.percentage,0,bạn tăng ở 19 phần_trăm giúp mình nhé,0,smart.home.increase.percentage
tăng đèn led 3 12 phần trăm,smart.home.increase.percentage,0,tăng 12 phần_trăm,True,smart.home.decrease.percentage
cửa cuốn thêm 23 phần trăm,smart.home.increase.percentage,0,23 phần_trăm,True,smart.home.decrease.percentage
giúp tôi tăng rèm cửa thứ 3 phòng xông hơi 4 thêm 6 phần trăm nữa,smart.home.increase.percentage,0,giúp tôi tăng thêm 6 phần_trăm nữa,0,smart.home.increase.percentage
trợ lý béo tăng bóng led 4 lên 6 phần trăm ở phòng tắm 2 phòng 6,smart.home.increase.percentage,0,trợ_lý béo tăng bóng 6 phần_trăm ở phòng tắm,True,smart.home.device.onoff
bạn có thể tăng giúp mình đèn hắt tường thứ 2 lên mức 12 phần trăm được không,smart.home.increase.percentage,0,bạn có_thể tăng giúp mình đèn mức 12 phần_trăm được không,0,smart.home.increase.percentage
tăng độ sáng rèm ngang 3 thêm 22 phần trăm,smart.home.increase.percentage,0,tăng độ sáng thêm 22 phần_trăm,True,smart.home.decrease.percentage
tăng đèn 4 lên 14 phần trăm giúp mình,smart.home.increase.percentage,0,tăng lên 14 phần_trăm giúp mình,0,smart.home.increase.percentage
tăng lên mành đôi 3 lên 89 phần trăm nhé,smart.home.increase.percentage,0,tăng lên lên 89 phần_trăm nhé,0,smart.home.increase.percentage
mình muốn tăng bóng huỳnh quang 1 lên 24 phần trăm,smart.home.increase.percentage,0,mình muốn tăng phần_trăm,0,smart.home.increase.percentage
mình muốn tăng đèn huỳnh quang lên 6 phần trăm,smart.home.increase.percentage,0,mình muốn tăng 6 phần_trăm,0,smart.home.increase.percentage
tăng đến đèn vách lên 64 phần trăm nhé,smart.home.increase.percentage,0,tăng đến 64 phần_trăm nhé,0,smart.home.increase.percentage
em tăng giúp anh quạt treo tường 2 nhé,smart.home.increase.percentage,True,em tăng giúp anh nhé,True,smart.home.increase.level
giúp mình tăng lên bóng vách 2 khách 3 lên 55 phần trăm,smart.home.increase.percentage,0,giúp mình tăng lên lên 55 phần_trăm,True,smart.home.increase.level
tăng bóng sân 2 5 phần trăm tại phòng đợi 6,smart.home.increase.percentage,0,tăng 5 phần_trăm tại phòng_đợi,0,smart.home.increase.percentage
